user_id,product_id,interaction_type,timestamp
U00027,P00822,add_to_cart,2025-11-12 20:50:35.268263
U00398,P00224,view,2025-11-22 20:50:35.268861
U00262,P00566,add_to_cart,2025-11-07 20:50:35.269380
U00375,P00612,view,2025-12-05 20:50:35.269962
U00491,P00646,purchase,2025-12-13 20:50:35.270519
U00148,P00131,view,2025-10-23 20:50:35.271072
U00472,P00683,click,2025-12-12 20:50:35.271575
U00372,P00369,click,2025-12-17 20:50:35.272093
U00031,P00396,click,2025-11-06 20:50:35.272686
U00086,P00698,click,2025-10-27 20:50:35.273614
U00149,P00711,add_to_cart,2025-11-01 20:50:35.274272
U00013,P00172,view,2026-01-09 20:50:35.274860
U00064,P00376,click,2025-12-15 20:50:35.275569
U00129,P00433,view,2025-12-15 20:50:35.276415
U00140,P00140,add_to_cart,2026-01-18 20:50:35.277048
U00379,P00749,view,2025-12-28 20:50:35.277631
U00465,P00043,click,2025-12-31 20:50:35.278232
U00337,P00222,view,2025-12-28 20:50:35.278994
U00133,P00627,click,2025-12-20 20:50:35.279614
U00248,P00173,view,2025-11-13 20:50:35.280204
U00441,P00920,view,2026-01-09 20:50:35.280794
U00495,P00287,view,2025-12-31 20:50:35.281346
U00428,P00143,view,2025-11-28 20:50:35.281912
U00394,P00551,view,2025-10-27 20:50:35.282482
U00225,P00230,click,2025-12-29 20:50:35.283019
U00107,P00067,click,2025-12-06 20:50:35.283613
U00027,P00274,click,2026-01-05 20:50:35.284617
U00026,P00611,view,2025-11-29 20:50:35.285275
U00243,P00649,view,2025-11-12 20:50:35.285802
U00119,P00694,view,2025-10-21 20:50:35.286195
U00199,P00779,view,2026-01-01 20:50:35.286543
U00271,P00335,add_to_cart,2026-01-18 20:50:35.287025
U00147,P00891,add_to_cart,2025-11-23 20:50:35.287421
U00195,P00860,click,2025-11-13 20:50:35.287769
U00349,P00372,purchase,2026-01-07 20:50:35.288104
U00469,P00760,click,2025-12-05 20:50:35.288432
U00489,P00453,add_to_cart,2025-11-02 20:50:35.288775
U00470,P00390,click,2025-12-16 20:50:35.289120
U00171,P00211,view,2026-01-07 20:50:35.289446
U00130,P00363,click,2025-11-30 20:50:35.289768
U00236,P00662,click,2025-12-20 20:50:35.290090
U00375,P00630,click,2025-12-26 20:50:35.290411
U00266,P00990,view,2025-10-23 20:50:35.290737
U00092,P00781,view,2026-01-18 20:50:35.291062
U00344,P00190,view,2026-01-11 20:50:35.291393
U00006,P00286,view,2025-11-13 20:50:35.291740
U00053,P00357,click,2025-12-06 20:50:35.292085
U00112,P00999,click,2025-12-18 20:50:35.292423
U00098,P00612,view,2025-11-01 20:50:35.292751
U00047,P00421,view,2025-11-04 20:50:35.293069
U00336,P00084,add_to_cart,2025-12-23 20:50:35.293387
U00486,P00508,click,2026-01-04 20:50:35.293709
U00362,P00761,purchase,2026-01-08 20:50:35.294033
U00438,P00816,click,2025-12-02 20:50:35.294346
U00336,P00157,click,2025-10-29 20:50:35.294663
U00289,P00018,add_to_cart,2025-12-27 20:50:35.294983
U00458,P00695,view,2025-12-27 20:50:35.295297
