product_id,title,description,category,brand,price,rating,num_reviews
P00000,Premium Toys Tool,High-quality toys from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandA,144.76,3.4,754
P00001,Premium Electronics Product,High-quality electronics from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandE,216.74,3.1,223
P00002,Modern Clothing Widget,High-quality clothing from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandE,285.01,4.4,718
P00003,Deluxe Books Item,High-quality books from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandD,298.74,4.6,6
P00004,Essential Clothing Device,High-quality clothing from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandD,86.18,4.9,344
P00005,Classic Electronics Widget,High-quality electronics from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandA,185.9,3.7,270
P00006,Modern Electronics Widget,High-quality electronics from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandD,486.83,3.8,565
P00007,Essential Home Product,High-quality home from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandE,104.22,3.1,677
P00008,Premium Clothing Gadget,High-quality clothing from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Clothing,BrandC,434.58,3.8,464
P00009,Deluxe Toys Device,High-quality toys from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandC,184.08,4.3,718
P00010,Modern Toys Tool,High-quality toys from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandA,93.86,4.5,167
P00011,Essential Sports Tool,High-quality sports from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandD,347.2,3.4,332
P00012,Premium Electronics Device,High-quality electronics from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandB,206.57,3.1,935
P00013,Deluxe Books Tool,High-quality books from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandC,254.62,4.8,658
P00014,Essential Sports Gadget,High-quality sports from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandB,130.85,4.1,269
P00015,Classic Toys Product,High-quality toys from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandE,205.71,3.4,141
P00016,Premium Books Widget,High-quality books from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandD,431.94,3.3,163
P00017,Modern Toys Widget,High-quality toys from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandD,198.54,4.2,479
P00018,Modern Books Widget,High-quality books from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandC,343.34,3.2,906
P00019,Vintage Books Device,High-quality books from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandC,64.66,3.9,464
P00020,Modern Electronics Gadget,High-quality electronics from BrandC. Perfect for everyday use. Premium materials and craftsmanship.,Electronics,BrandC,258.76,3.2,640
P00021,Modern Home Gadget,High-quality home from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandE,84.89,4.5,552
P00022,Modern Books Device,High-quality books from BrandA. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandA,249.42,3.2,371
P00023,Premium Home Gadget,High-quality home from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Home,BrandB,440.22,4.9,87
P00024,Premium Toys Product,High-quality toys from BrandD. Perfect for everyday use. Premium materials and craftsmanship.,Toys,BrandD,385.26,3.3,486
P00025,Essential Books Product,High-quality books from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandB,437.49,3.8,216
P00026,Vintage Books Device,High-quality books from BrandB. Perfect for everyday use. Premium materials and craftsmanship.,Books,BrandB,205.51,4.3,382
P00027,Classic Sports Widget,High-quality sports from BrandE. Perfect for everyday use. Premium materials and craftsmanship.,Sports,BrandE,131.47,3.1,21
